source_name,availability_bucket,status,fields,available_at_required,source_vendor,license_status,raw_location,warehouse_table,pit_tier,time_zone,session_cutoff_rule,build_script,schema_hash,quality_report,coverage_start,coverage_end,update_sla,known_gaps,usage_allowed_stage,notes
official_reference_rates_shibor_jin10,available_now,akshare_shibor_ingested,"rate_id, trade_date, annual_rate, day_count, currency",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,已接入金十/AkShare 多期限 Shibor 序列，覆盖 2015-05-08 至 2026-04-27。
pit_industry_classification,available_now,akshare_cninfo_ingested,"asset_id, industry, classification_standard, effective_from, effective_to, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,已接入 AkShare 巨潮行业归属变动；部分历史/北交所/退市代码可能无返回，见 akshare_industry_fetch_status.csv。
official_benchmark_prices,available_now,akshare_csindex_ingested,"index_id, trade_date, close, return, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,已接入 AkShare 中证指数沪深300/中证500/中证1000日频数据。
features_labels_panel,available_now,market_daily_v1_forward_returns_v1_built,"asset_id, trade_date, feature_time, available_at, decision_time, label_end_date, source_hash",True,,unknown_or_internal,,features/market_daily_v1; labels/forward_returns_v1,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,audit_reports/feature_label_panel_v1_manifest.json; audit_reports/pit_feature_audit_market_daily_v1.json; audit_reports/label_audit_forward_returns_v1.json,,,,,s1_research_after_calendar_holdout_ledger,features/market_daily_v1 与 labels/forward_returns_v1 已生成，各 15420654 行，带 feature_label_panel_v1_manifest、PIT feature audit 和 label audit；官方训练仍需 walk_forward_calendar 和 holdout log。
core_table_source_status,available_now,source_status_audit_pass,"table_name, field_name, source_status, field_pit_tier, available_at_rule, decision_time_rule",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,audit_reports/source_status_audit_r7.json,,,,,official_research_with_limits,prices_daily_unadjusted/prices_daily_returns/valuation_daily/security_master.equity_master 所需 source_status 或时点字段已补齐；见 source_status_audit_r7.json。
margin_trading_p1_candidate,candidate_etl,planned_source_registered_no_etl_script_p1_candidate,"asset_id, exchange, trade_date, margin_buy, margin_repay, margin_balance, short_sell_volume, short_balance_qty, short_balance_amount, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,融资融券用于杠杆资金、拥挤和做空可得性；未入仓和 PIT 审计前只可 source registration；当前仅 source registered，尚无 ETL 脚本。
northbound_flow_p1_candidate,candidate_etl,planned_source_registered_no_etl_script_p1_candidate,"asset_id, trade_date, holding_shares, holding_value, net_buy_value, quota_usage, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,北向资金用于风格切换和行业资金流；需确认披露时点和可得性；当前仅 source registered，尚无 ETL 脚本。
restricted_share_unlock_p1_candidate,candidate_etl,planned_source_registered_no_etl_script_p1_candidate,"asset_id, release_date, release_shares, release_mv, holder_type, announcement_date, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,限售解禁用于注册制后供给压力；需公告日和实施日双时点；当前仅 source registered，尚无 ETL 脚本。
market_breadth_limit_pressure_p1_5,candidate_etl,planned_source_registered_no_etl_script_p1_5,"trade_date, advancers, decliners, limit_up_count, limit_down_count, dry_up_flag, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,市场宽度和涨跌停压力用于风险开关、拥挤踩踏监控和 stress slice，不作为单独 alpha 结论；当前仅 source registered，尚无 ETL 脚本。
etf_flow_p1_5_candidate,candidate_etl,planned_source_registered_no_etl_script_p1_5,"fund_id, trade_date, shares_outstanding, estimated_flow, nav, premium_discount, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,ETF 申赎和宽基资金流用于 2023-2025 被动/政策资金影响分析；需授权和可得时点；当前仅 source registered，尚无 ETL 脚本。
index_futures_basis_oi_p1_5,candidate_etl,planned_source_registered_no_etl_script_p1_5,"contract, trade_date, close, basis, open_interest, volume, roll_cost, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,IF/IC/IH/IM basis、持仓和成交用于对冲成本、风格去杠杆和小盘拥挤分析；当前仅 source registered，尚无 ETL 脚本。
fundamental_disclosures_p2,candidate_etl,planned_source_registered_no_etl_script_p2,"asset_id, report_period, announcement_date, revenue, net_profit, roe, gross_margin, operating_margin, cash_flow_quality, earnings_stability, guidance, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,财报、业绩预告、业绩快报和盈利质量因子用于 P2 基本面解释力；ROE、毛利率、盈利稳定性等必须以公告日、报告期、重述版本和可得日为核心，未 PIT 审计前不得进入 keep；当前仅 source registered，尚无 ETL 脚本。
analyst_expectations_p2,candidate_etl,planned_source_registered_no_etl_script_p2,"asset_id, report_date, forecast_period, consensus_eps, consensus_profit, rating, target_price, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,分析师预期修正、一致预期变化和评级调整需要授权源、公告/发布时间和可得性审计；未审计前不得进入 keep；当前仅 source registered，尚无 ETL 脚本。
shareholder_pledge_lhb_block_trade_p2_p3,candidate_etl,planned_source_registered_no_etl_script_p2_p3,"asset_id, stat_date, shareholder_count, pledge_ratio, lhb, block_trade, event_time, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,股东户数、质押、龙虎榜和大宗交易可作为解释性或事件候选；未审计前不得进入 keep；当前仅 source registered，尚无 ETL 脚本。
prices_minute_execution_p2,candidate_etl,planned_source_registered_no_etl_script_p2,"asset_id, datetime, open_auction_volume, open_trade_volume, vwap, order_pressure, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,分钟/集合竞价数据优先服务开盘冲击和可成交性，不能提前变成分钟 alpha 主线；当前仅 source registered，尚无 ETL 脚本。
chip_daily_p1_5_candidate,candidate_etl,planned_source_registered_no_etl_script_p1_5,"asset_id, trade_date, chip_distribution, cost_concentration, winner_rate, vendor_algorithm_version, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,筹码数据可并行做 source registration 和 PIT/算法解释审计；未形成可审计主表前不得进入官方 S1 keep；当前仅 source registered，尚无 ETL 脚本。
limit_events_p3_candidate,candidate_etl,planned_source_registered_no_etl_script_p3,"asset_id, trade_date, event_time, limit_side, seal_amount, open_count, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,涨停/跌停事件需区分盘后可见与盘中可见字段；未审计成交可行性前只作卫星候选；当前仅 source registered，尚无 ETL 脚本。
option_minute_p4_candidate,candidate_etl,planned_source_registered_no_etl_script_p4,"contract, datetime, bid, ask, last, volume, open_interest, implied_vol, greeks, margin_requirement, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,期权分钟数据缺 bid/ask、保证金、盘口深度和真实成交概率前只作 P4 研究储备；当前仅 source registered，尚无 ETL 脚本。
news_events,candidate_etl,planned_source_registered_no_etl_script_p4,"asset_id, announcement, news, event_time, source_url, available_at",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,需要 NLP、授权和可得时点审计；不作为近期主线；当前仅 source registered，尚无 ETL 脚本。
global_energy_prices_p1_5,candidate_etl,gmsl_candidate_partial_cboe_ovx_ingested_fred_energy_error,"instrument_id, trade_date, value, return_1d, return_5d, return_20d, vol_20d, available_at, decision_time",True,FRED_fredapi_NasdaqDataLink_Quandl_CBOE_or_exchange_vendor_candidate,public_source_terms_need_review,D:\data\warehouse\global_macro_daily,global_macro_daily,candidate_external_macro_requires_timezone_session_cutoff_audit,US/Central; Asia/Shanghai for SC crude when sourced,overseas same-date close after China 16:00 is next A-share decision only,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv; audit_reports/gmsl_coverage_report.csv,2009-09-18,2026-04-29,manual_or_scheduled_after_source_stability_verified,Cboe OVX candidate ingested; FRED Brent/WTI fredgraph.csv fetch attempts timed out; fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; SC crude and energy index still need exchange/vendor source,stress_report_only_not_alpha_keep,"Brent/WTI/SC crude and energy-volatility candidates for GMSL oil shock. Cboe OVX is a volatility proxy only, not spot/futures crude price; stress report only until full source/timezone/PIT audit passes."
global_fx_rates_p1_5,candidate_etl,gmsl_candidate_fetch_attempted_all_error,"DXY, USD/CNH, USD/CNY fixing, returns, vol, available_at",True,FRED_fredapi_NasdaqDataLink_Quandl_or_fx_vendor_candidate,public_source_terms_need_review,D:\data\warehouse\global_macro_daily,global_macro_daily,candidate_external_macro_requires_timezone_session_cutoff_audit,US/Central; Asia/Shanghai for official fixing,official fixing by publish time; offshore FX by quote cutoff; late observations shift to next A-share decision,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv,,,manual_or_scheduled_after_source_stability_verified,candidate schema initialized; FRED fredgraph.csv fetch attempt timed out for all configured series; fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; no successful external macro rows yet,stress_report_only_not_alpha_keep,"DXY, USD/CNY fixing and USD/CNH candidates for FX shock and imported inflation. Current script attempts FRED DXY/USD-CNY proxies only; fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; USD/CNH needs FX vendor or official source. No OOT/holdout threshold tuning."
global_volatility_indices_p1_5,candidate_etl,gmsl_candidate_cboe_vix_ovx_gvz_ingested_fred_vix_error,"VIX, OVX, GVZ, MOVE, global equity vol proxies, returns, changes, available_at",True,CBOE_FRED_fredapi_NasdaqDataLink_Quandl_or_vendor_candidate,public_source_terms_need_review,D:\data\warehouse\global_macro_daily,global_macro_daily,candidate_external_macro_requires_timezone_session_cutoff_audit,US/Central,US close after China 16:00 is next A-share decision only,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv; audit_reports/gmsl_coverage_report.csv,1990-01-02,2026-04-29,manual_or_scheduled_after_source_stability_verified,Cboe VIX/OVX/GVZ candidate rows ingested for GMSL-v0 partial stress report; FRED VIX timed out and MOVE still needs source registration or fredapi/Nasdaq Data Link/Quandl/vendor mirror,stress_report_only_not_alpha_keep,VIX/OVX/GVZ candidates for global risk-off and commodity-volatility stress reporting. Report-only until PIT/timezone coverage audit passes.
cboe_volatility_indices_p1_5,candidate_etl,gmsl_candidate_cboe_vix_ovx_gvz_ingested,"instrument_id, trade_date, value, return_1d, return_5d, return_20d, vol_20d, available_at, decision_time",True,CBOE,public_source_terms_need_review,https://cdn.cboe.com/api/global/us_indices/daily_prices,VIX_History.csv/OVX_History.csv/GVZ_History.csv -> global_macro_daily,candidate_external_macro_requires_timezone_session_cutoff_audit,US/Central,US close after China 16:00 is next A-share decision only,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv; audit_reports/gmsl_coverage_report.csv,1990-01-02,2026-04-29,manual_or_scheduled_after_source_stability_verified,Cboe official CSV candidate rows ingested: VIX 9174 rows from 1990-01-02; OVX/GVZ 4176 rows each from 2009-09-18; license terms still need verification,stress_report_only_not_alpha_keep,Cboe VIX/OVX/GVZ are the first successful GMSL external candidate sources. They remain report-only and cannot select models or tune thresholds.
global_rates_p1_5,candidate_etl,gmsl_candidate_fetch_attempted_all_error,"UST2Y, UST10Y, China10Y, yield changes, available_at",True,FRED_fredapi_NasdaqDataLink_Quandl_and_existing_reference_rates_candidate,public_source_terms_need_review,D:\data\warehouse\global_macro_daily,global_macro_daily; reference_rates,candidate_external_macro_requires_timezone_session_cutoff_audit,US/Central; Asia/Shanghai,US rates same-date observation next A-share decision; China rates by local publish time,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv,,,manual_or_scheduled_after_source_stability_verified,candidate schema initialized; FRED fredgraph.csv fetch attempt timed out for all configured series; fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; no successful external macro rows yet,stress_report_only_not_alpha_keep,UST2Y/UST10Y and China10Y rate shock candidates. Current script attempts FRED UST series; China rates are available in reference_rates but not yet joined into GMSL panel. No successful external macro rows yet.
commodity_metals_agri_p1_5,candidate_etl,gmsl_candidate_partial_cboe_gvz_ingested_fred_gold_error,"gold, GVZ, copper, aluminum, iron ore, agriculture/fertilizer proxies, returns, vol, available_at",True,CBOE_FRED_fredapi_NasdaqDataLink_Quandl_or_exchange_vendor_candidate,public_source_terms_need_review,D:\data\warehouse\global_macro_daily,global_macro_daily,candidate_external_macro_requires_timezone_session_cutoff_audit,source_specific,source-specific close/publish time converted to Asia/Shanghai; late observations shift to next A-share decision,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv; audit_reports/gmsl_coverage_report.csv,2009-09-18,2026-04-29,manual_or_scheduled_after_source_stability_verified,Cboe GVZ candidate ingested as gold-volatility proxy for GMSL-v0 partial stress report; FRED gold proxy timed out and fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; other instruments need source-specific exchange/vendor registration,stress_report_only_not_alpha_keep,"Gold volatility/copper/aluminum/iron ore/agri/fertilizer candidates for commodity and inflation shock. GVZ is a volatility proxy only, not spot gold or commodity basket; stress report only."
global_equity_futures_p1_5,candidate_etl,gmsl_candidate_initialized_partial_config,"SPX, Nasdaq, MSCI EM, HSI, HSTECH, A50 futures, returns, vol, available_at",True,FRED_fredapi_NasdaqDataLink_Quandl_or_exchange_vendor_candidate,public_source_terms_need_review,D:\data\warehouse\global_macro_daily,global_macro_daily,candidate_external_macro_requires_timezone_session_cutoff_audit,source_specific,overnight futures session ownership must be PIT audited before use,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv,,,manual_or_scheduled_after_source_stability_verified,candidate schema initialized; FRED fredgraph.csv fetch attempt timed out for all configured series; fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; no successful external macro rows yet,stress_report_only_not_alpha_keep,SPX/Nasdaq/MSCI EM/HSI/HSTECH/A50 futures candidates for global equity risk. Current script attempts FRED SP500/Nasdaq close only; futures and Asia indices need source-specific PIT session ownership audit.
geopolitical_event_calendar_p2,candidate_etl,gmsl_candidate_initialized_empty,"event_id, event_name, event_group, event_start_date, event_end_date, available_at, source_status",True,manual_preregistered_event_registry_or_news_vendor,public_source_terms_need_review,D:\data\warehouse\geopolitical_event_calendar,geopolitical_event_calendar,candidate_external_macro_requires_timezone_session_cutoff_audit,Asia/Shanghai,event windows must be pre-registered before use; retrospective windows report-only,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv,,,manual_or_scheduled_after_source_stability_verified,candidate schema initialized; FRED fredgraph.csv fetch attempt timed out for all configured series; fredapi/Nasdaq Data Link/Quandl/vendor mirror are candidate alternatives; no successful external macro rows yet,stress_report_only_not_alpha_keep,Pre-registered geopolitical event windows for stress reporting only. Event windows must be registered before use; retrospective windows cannot select models or thresholds.
gmsl_shock_state_candidate,candidate_etl,gmsl_candidate_partial_from_cboe_sources,"trade_date, oil_shock, fx_shock, global_risk_off, rate_shock, commodity_shock, shock_rule_version, available_at",True,derived_from_candidate_global_macro_sources,public_source_terms_need_review,D:\data\warehouse\gmsl_shock_state,gmsl_shock_state,candidate_external_macro_requires_timezone_session_cutoff_audit,Asia/Shanghai,derived only from source rows with available_at <= decision_time,D:\data\scripts\warehouse\apply_gmsl_candidate_sources.py,,audit_reports/gmsl_manifest.json; audit_reports/gmsl_timezone_available_at_audit.json; audit_reports/gmsl_source_fetch_status.csv; audit_reports/gmsl_coverage_report.csv,1990-01-02,2026-04-29,manual_or_scheduled_after_source_stability_verified,Candidate shock-state table generated from current Cboe VIX/OVX/GVZ rows; FX/rates/spot energy/global equity inputs remain missing or failed,stress_report_only_not_alpha_keep,"Derived GMSL shock-state table is partial and not a keep gate. It cannot raise risk, select models, tune thresholds, or enter official alpha evidence."
