dataset_id,physical_path,row_count,version_role,coverage_scope,sample_or_full,pit_status,posthoc_fields,blocking_issues,exists
zt_pool,coder/raw/akshare/seal_amount/zt_pool.csv,1055,raw_candidate,2026-04~05,sample,candidate_raw_needs_pit,,仅近1个月,True
dt_pool,coder/raw/akshare/seal_amount/dt_pool.csv,180,raw_candidate,2026-04~05,sample,candidate_raw_needs_pit,,仅近1个月,True
gmsl_wti,mimo/staging/wti_crude.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_brent,mimo/staging/brent_crude.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_sc_crude,mimo/staging/sc_crude.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_dxy,mimo/staging/dxy.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_usdcny,mimo/staging/usdcny.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_fed_funds,mimo/staging/fed_funds.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_ust_10y,mimo/staging/ust_10y.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_ust_2y,mimo/staging/ust_2y.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_ust_30y,mimo/staging/ust_30y.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_vix,mimo/staging/vix.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_vix9d,mimo/staging/vix9d.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_vxn,mimo/staging/vxn.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_gvz,mimo/staging/gvz.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_ovx,mimo/staging/ovx.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_gold,mimo/staging/gold_futures.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_silver,mimo/staging/silver_futures.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_copper,mimo/staging/shfe_copper.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_spx,mimo/staging/spx.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_nasdaq,mimo/staging/nasdaq.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_usdcnh_boc,mimo/staging/usdcnh_boc.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_gold_sge,mimo/staging/gold_sge.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_silver_sge,mimo/staging/silver_sge.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_shfe_gold,mimo/staging/shfe_gold.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
gmsl_shfe_silver,mimo/staging/shfe_silver.parquet,0,staging_candidate,历史,full,stress_report_candidate,,需session_cutoff/source_status/license复核;不得用于alpha/选模/阈值,False
rev_lhb,review/staging/event_explainability/event_lhb_staged.csv,6562,staging_candidate,样本,sample,candidate_staging_needs_pit,上榜后1日;上榜后2日;上榜后5日;上榜后10日,asset_id疑似全部映射为000001.SZ;后验字段需禁用,True
rev_holder,review/staging/event_explainability/event_holder_staged.csv,889,staging_candidate,样本,sample,candidate_staging_needs_pit,,缺available_at/decision_time,True
rev_analyst_cninfo,review/staging/analyst/analyst_cninfo_staged.csv,391,staging_candidate,样本,sample,candidate_staging_needs_pit,,核心字段全空;主键重复严重,True
rev_bs,review/staging/fundamental/fundamental_bs_staged.csv,119,staging_candidate,单股,sample,candidate_staging_needs_pit,,仅000001.SZ;大量财报科目为空,True
rev_is,review/staging/fundamental/fundamental_is_staged.csv,122,staging_candidate,单股,sample,candidate_staging_needs_pit,,仅000001.SZ;roe/gross_margin为空,True
rev_minute,review/staging/minute/minute_daily_staged.csv,78,unusable,单股,sample,unusable,,SSL阻断;仅78行单股;集合竞价字段全空,True
rev_share_change,review/staging/event_explainability/event_share_change_staged.csv,45,staging_candidate,样本,sample,candidate_staging_needs_pit,,样本极少,True
rev_news_cctv,review/staging/news/news_cctv_staged.csv,11,reference_only,样本,sample,reference_only,,仅11行,True
rev_news_stock,review/staging/news/news_stock_staged.csv,10,reference_only,样本,sample,reference_only,,仅10行,True
rev_news_div,review/staging/news/news_dividend_staged.csv,15,reference_only,样本,sample,reference_only,,仅15行,True
rev_news_suspend,review/staging/news/news_suspend_staged.csv,8,reference_only,样本,sample,reference_only,,仅8行,True
rev_analyst_ths,review/staging/analyst/analyst_ths_staged.csv,3,unusable,样本,sample,unusable,,"仅3行,UNUSABLE",True
rev_etf_1min,review/raw/akshare/minute/minute_etf_1min.csv,0,failed,无,empty,fetch_empty_or_failed,,空文件,True
rev_rv_1min,review/raw/akshare/minute/minute_rv_1min.csv,0,failed,无,empty,fetch_empty_or_failed,,空文件,True
